rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
144,"spotify:track:1Jo0Zg7XlrA6z0mFTZVdkn","Rihanna","Don't Stop The Music","Def Jam Recordings",133,151,27,"10242098"
145,"spotify:track:0FIDCNYYjNvPVimz5icugS","The Weeknd, Playboi Carti","Timeless (feat Playboi Carti)","XO / Republic Records",3,142,83,"10229139"
146,"spotify:track:2tpWsVSb9UEmDRxAl1zhX1","OneRepublic","Counting Stars","Mosley / Interscope",86,179,261,"10225935"
147,"spotify:track:7gtG45ieyQzKtNKobfLd49","Harry Styles","American Girls","Columbia",1,116,8,"10215060"
148,"spotify:track:0gucTLf7trAf37Ua1uAyAu","Nirvana","Smells Like Teen Spirit","Geffen",103,135,154,"10201502"
149,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",1,152,335,"10186115"
150,"spotify:track:4nTjkWK590oBDcnIxTr1mI","Justin Bieber","Favorite Girl","RBMG/Def Jam",81,81,3,"10185535"
151,"spotify:track:1XGmzt0PVuFgQYYnV2It7A","Maroon 5, Wiz Khalifa","Payphone","Interscope Records*",70,162,101,"10184647"
152,"spotify:track:2LlQb7Uoj1kKyGhlkBf9aC","Michael Jackson","Thriller","Epic",55,-1,9,"10093731"
153,"spotify:track:13HD3tYTiz8oSRxWzXEq7g","Ella Langley","Be Her","SAWGOD/Columbia",114,141,3,"10080151"
154,"spotify:track:3nqqDo8CcCLke3ZoTgiOKf","The Script","The Man Who Can't Be Moved","Epic/Phonogenic",95,127,24,"9980597"
155,"spotify:track:6ifUES3keWjwXgae8pXI3o","Danny Ocean","Me Rehúso","Atlantic Records",20,133,94,"9882440"
156,"spotify:track:0AcgKF7kbSoCkh3n7vlHwK","Michael Jackson","Dirty Diana - 2012 Remaster","Epic/Legacy",156,-1,1,"9878067"
157,"spotify:track:15JINEqzVMv3SvJTAXAKED","Eminem, Rihanna","Love The Way You Lie","Eminem Catalog PS",156,169,6,"9838977"
158,"spotify:track:2ENexcMEMsYk0rVJigVD3i","Rihanna","Only Girl (In The World)","Def Jam Recordings",99,153,28,"9823219"
159,"spotify:track:0Sa8aRfGckW0qUGLrBwoBG","Lenin Ramírez","Todo Lo Fue","DEL Records",85,191,14,"9806788"
160,"spotify:track:22skzmqfdWrjJylampe0kt","Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton","Can't Hold Us (feat. Ray Dalton)","Macklemore",86,161,196,"9797071"
161,"spotify:track:0TFTAtCYhp2tQ9KcJIZb55","sombr","undressed","Warner Records",6,115,57,"9788881"
162,"spotify:track:2aHgHoX9SqBDGyMn32W1oA","Coldplay","Sparks","Parlophone UK",30,137,88,"9756864"
163,"spotify:track:0UHB9METy4VCXNgkcGqHqS","Rihanna","Kiss It Better","Roc Nation / Rihanna",100,136,9,"9712977"
164,"spotify:track:7ne4VBA60CxGM75vw0EYad","Gracie Abrams","That’s So True","Gracie Abrams, under exclusive license to Interscope Records",3,160,80,"9705694"
165,"spotify:track:6iOndD4OFo7GkaDypWQIou","W Sound, Beéle, Ovy On The Drums","La Plena - W Sound 05","WEA Latina",5,147,61,"9643711"
166,"spotify:track:1zv3WFUbZ5vPxFq9I2jAU1","Rihanna, Calvin Harris","We Found Love","Def Jam Recordings",59,154,115,"9575422"
167,"spotify:track:0ll8uFnc0nANY35E0Lfxvg","Keane","Somewhere Only We Know","Universal-Island Records Ltd.",71,159,179,"9571806"
168,"spotify:track:6N2iccqxRInhTLHc2Fu3W0","El Bogueto, Yung Beef","Cuando No Era Cantante","Candela Music",18,134,28,"9563363"
169,"spotify:track:0B7wvvmu9EISAwZnOpjhNI","Bruno Mars","When I Was Your Man","Atlantic Records",38,126,174,"9555412"
170,"spotify:track:61rwYQu9An4QWrcCUyFUyq","Ella Langley, Morgan Wallen","I Can't Love You Anymore","SAWGOD/Columbia",170,-1,1,"9532551"
171,"spotify:track:1E7zLPDdqo0OvzVmGj5aoV","Sal Priadi","Ada titik-titik di ujung doa","Orang Pertunjukan",109,129,7,"9491148"
172,"spotify:track:7snQQk1zcKl8gZ92AnueZW","Guns N' Roses","Sweet Child O' Mine","Guns N Roses P&D",101,164,69,"9474563"
173,"spotify:track:6DH13QYXK7lKkYHSU88N48","Daniel Caesar","Who Knows","Republic Records",58,140,23,"9472957"
174,"spotify:track:6SuIUd8Wl5tZcyMFAV0EZJ","Neton Vega","Nalguita y Teta","Josa Records",174,178,2,"9453640"
175,"spotify:track:0RiRZpuVRbi7oqRdSMwhQY","Post Malone, Swae Lee","Sunflower - Spider-Man: Into the Spider-Verse","Republic Records",1,183,335,"9441053"
176,"spotify:track:2gSNBigeWMVtY3QBIvPAEc","Michael Jackson","Bad - 2012 Remaster","Epic/Legacy",176,-1,1,"9440990"
177,"spotify:track:0WbMK4wrZ1wFSty9F7FCgu","Chappell Roan","Good Luck, Babe!","Chappell Roan PS/ Island",6,171,107,"9430559"
178,"spotify:track:2nLtzopw4rPReszdYBJU6h","Linkin Park","Numb","Warner Records",24,143,108,"9426895"
179,"spotify:track:3siwsiaEoU4Kuuc9WKMUy5","The Marías","No One Noticed","Nice Life/Atlantic",37,144,76,"9420377"
180,"spotify:track:54PbBpquVfhfrwRwvjSXbI","Charlie Puth, Selena Gomez","We Don't Talk Anymore (feat. Selena Gomez)","Artist Partner",39,167,77,"9400084"
181,"spotify:track:7JJmb5XwzOO8jgpou264Ml","Shawn Mendes","There's Nothing Holdin' Me Back","Island Records",5,-1,82,"9350411"
182,"spotify:track:5BKKy9fIJL5uM9fz1SnqyP","Michael Jackson","Chicago","Epic/MJJ",182,-1,1,"9310864"
183,"spotify:track:7lQ8MOhq6IN2w8EYcFNSUk","Eminem","Without Me","Eminem Catalog PS",31,180,230,"9259301"
184,"spotify:track:3avYqdwHKEq8beXbeWCKqJ","Katy Perry","Last Friday Night (T.G.I.F.)","Capitol Records",144,199,15,"9189220"
185,"spotify:track:5qqabIl2vWzo9ApSC317sa","Oasis","Wonderwall - Remastered","Big Brother Recordings Ltd",63,174,135,"9185411"
186,"spotify:track:3d0WouFnFmr0K3kjeza3fF","Shakira, Wyclef Jean","Hips Don't Lie (feat. Wyclef Jean)","Epic",82,155,51,"9114479"
187,"spotify:track:2ZyrAym0sRLwt4PhGotHuI","Ryan Castro, Kapo, Gangsta","LA VILLA","AWOO Corp./Sony Music Latin",47,185,16,"9050061"
188,"spotify:track:19XpFsce28aByvCC4g89tJ","Hozier","Too Sweet","Columbia",2,-1,93,"9046986"
189,"spotify:track:4y3VBhJPEztyRmNxfK3tZ5","Noah Kahan","All Them Horses","Mercury Records",189,-1,1,"9043664"
190,"spotify:track:35po0dhj4pRkbVDeooNVBW","Noah Kahan","Staying Still","Mercury Records",190,-1,1,"9003144"
191,"spotify:track:6sTlzpJaFGkFQ4BNccmbW9","Kehlani","Folded","TSNMI / Atlantic",62,-1,34,"8997154"
192,"spotify:track:7ySUcLPVX7KudhnmNcgY2D","Rihanna","S&M","Def Jam Recordings",186,-1,8,"8982847"
193,"spotify:track:3U5JVgI2x4rDyHGObzJfNf","Natasha Bedingfield","Unwritten","Sony Music CG",16,-1,70,"8979879"
194,"spotify:track:5mCPDVBb16L4XQwDdbRUpz","Drake","Passionfruit","Cash Money Records/Young Money Ent./Universal Rec.",2,-1,58,"8972014"
195,"spotify:track:3QGsuHI8jO1Rx4JWLUh9jd","Shawn Mendes","Treat You Better","Island Records",26,-1,54,"8948912"
196,"spotify:track:4jnFqNWeJCeCRHc4HCdxfd","Michael Jackson","Remember the Time","Epic/Legacy",196,-1,1,"8944575"
197,"spotify:track:0tgVpDi06FyKpA1z0VMD4v","Ed Sheeran","Perfect","Atlantic Records UK",4,170,445,"8915319"
198,"spotify:track:1QV6tiMFM6fSOKOGLMHYYg","Lady Gaga","Poker Face","Interscope",37,-1,63,"8908677"
199,"spotify:track:3plyGpDgzfrnZbpElpfioV","BTS","No. 29","BIGHIT MUSIC",22,146,6,"8904918"
200,"spotify:track:13CwOTXUgBugeBByE9oIWb","Nadhif Basalamah","kota ini tak sama tanpamu","After School",48,149,17,"8902902"
